Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Rubrobacteraceae;g__Rubrobacter";0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Sanguibacteraceae";0;0;0;0;0;0.002541667;0.001041667;0.000541667;0.03775;4.16666E-05;0.0035;0.04325;0.028916667;0.021583333;0.000166666;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Solirubrobacteraceae";0;0;0;0;0;0.000125;0.000458333;0;0;4.16666E-05;4.16666E-05;0;0;0;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Solirubrobacteraceae;g__Solirubrobacter";0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Streptomycetaceae;g__Streptomyces";4.16666E-05;0;0;0;0;4.16666E-05;0;0;0;0;4.16666E-05;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Williamsiaceae;g__Williamsia";8.33334E-05;0;0;0;0;0;4.16666E-05;4.16666E-05;4.16666E-05;0;4.16666E-05;0;0;0.000166667;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Yaniellaceae;g__Yaniella";4.16666E-05;4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Armatimonadetes;c__Armatimonadia;f__Armatimonadaceae";4.16666E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Armatimonadetes;c__CH21";0;0;0;0;0;4.16666E-05;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Bacteroidetes;Other;Other;Other";0;0;0;0;0;0;0;0.001583333;0.000291667;0;0.00025;0.000625;0.0015;0.000375;0;;;;;;;;;;;;;
